,round,load,period,duration_elog,energy_elog,power_avg_elog,duration_sig,energy_sig,power_avg_sig
0,11,40,0.05,79.96047499999999,218.85450199189776,2.737033540532342,80.022,289.58707499999514,3.618843255604648
1,30,0,1.0,79.509937,154.83883454676217,1.9474148815733836,80.025,200.77207499999705,2.508866916588529
2,28,80,0.1,79.910289,248.42541337168944,3.10880384091327,80.023,321.50845000000373,4.017700536095919
3,10,40,0.03,79.979996,216.02593328183193,2.7009995509606166,80.022,291.4689749999976,3.642360538351923
4,6,5,0.1,79.91075,185.64105297736634,2.3231048760944724,80.022,256.4941500000055,3.20529541875991
5,27,80,0.03,79.979996,249.1468048591537,3.1151139949938695,80.029,326.46237499999864,4.079300940908904
6,27,0,0.05,79.960384,151.68287070180455,1.8969752659242425,80.026,197.543725000006,2.468494301851973
7,5,90,2.0,79.510638,256.0542218313447,3.220376898891752,80.021,333.04310000000726,4.161946239112324
8,3,10,1.0,79.510418,190.2159092834558,2.3923394451712703,80.022,260.4660250000068,3.254930206693244
9,29,80,0.5,79.509869,248.92400837102602,3.130730958329538,80.022,323.1850999999928,4.038703106645583
10,7,0,0.04,79.96,151.15377580343122,1.8903673812335071,80.025,196.57910000001,2.456471102780505
11,30,10,0.04,79.959995,190.8561978648277,2.3868960705266136,80.022,262.7632750000033,3.2836379370673483
12,18,10,0.5,79.510611,186.02061543148517,2.3395696887738064,80.022,254.2639500000246,3.177425582964992
13,24,20,1.0,79.510272,197.82160597436103,2.488000619270439,80.022,267.7075250000063,3.3454240708805867
14,18,20,0.1,79.910433,197.91225150971022,2.4766759993618135,80.021,269.2435500000014,3.3646611514477622
15,34,50,0.03,79.97999899999999,222.80881928204872,2.7858067275300757,80.022,297.0961250000004,3.712680575341786
16,1,40,0.05,79.960432,217.93091722398574,2.7254844899285406,80.022,292.2848499999984,3.6525561720526647
17,2,10,0.2,79.910134,190.5830707010099,2.3849674773541225,80.027,261.5170250000041,3.2678599097805
18,19,80,0.04,79.999997,247.010340251234,3.0876293689265264,80.035,323.4706250000017,4.041614606109848
19,20,100,0.04,79.99999299999999,266.1125021099586,3.3264065674350576,80.028,343.71560000000943,4.294941770380484
20,23,70,0.04,79.959995,241.29648094254125,3.0177150579179153,80.022,318.4465750000006,3.979487828347212
21,4,15,0.1,79.91045600000001,196.55292174756102,2.459664624458669,80.022,268.64355000000165,3.357121166679184
22,11,100,0.04,79.959974,265.3903205130064,3.3190396049029025,80.023,342.6012500000203,4.28128475563301
23,7,15,2.0,79.510043,184.4514637544875,2.319851138232783,80.021,260.4969500000189,3.255357343697516
24,27,15,0.1,79.91019,192.8120605260896,2.412859492964409,80.023,267.0060250000091,3.3366160353899392
25,22,0,0.5,79.510346,154.0996147003244,1.938107711169115,80.026,199.19630000000376,2.4891447779472142
26,34,5,0.1,79.91008199999999,180.59086406206927,2.259925900990432,80.022,247.3750250000273,3.091337694634317
27,23,80,0.5,79.510386,240.45732357062406,3.024225332909641,80.026,325.68777499999817,4.069774510783972
28,28,40,0.2,79.91026400000001,213.65774297231118,2.673720899887293,80.025,287.9572499999939,3.5983411433926134
29,3,50,1.0,79.509924,221.0703846729332,2.7804124762203672,80.022,298.4629499999951,3.729761190672504
30,3,50,0.04,79.999996,225.2932341556821,2.8161655677543047,80.035,299.30667500000067,3.7396973199225423
31,11,50,0.5,80.010443,220.4182349553371,2.754868323317959,80.068,295.4826499999974,3.690396288155036
32,1,20,2.0,79.510396,188.6960266108081,2.373224585761189,80.024,267.9553250000024,3.348437031390613
33,21,0,0.1,79.910404,152.44368919867597,1.9076826241383533,80.025,196.8374750000095,2.4596997813184567
34,8,90,0.03,79.979075,260.82820275612283,3.2612055435265144,80.025,335.40845000000945,4.191295845048541
35,12,100,2.0,79.51062900000001,262.5052933432923,3.3015119694662745,80.023,338.3547000000094,4.228218137285649
36,16,100,0.1,79.910573,264.91931238460484,3.3151972566209085,80.024,339.52312500001125,4.242766232630351
37,35,15,0.2,79.91002999999999,191.48129491136396,2.396211025216284,80.022,261.665550000016,3.2699201469597856
38,20,90,0.05,79.960051,257.20931217839274,3.2167227129256424,80.03,334.3050750000051,4.177246969886356
39,29,50,0.04,79.999995,225.38793899940757,2.817349413576933,80.041,300.90689999999705,3.7594095526042537
40,29,15,0.1,79.910269,193.36466341953601,2.4197724002097405,80.023,265.1793500000081,3.3137891606164245
41,27,60,0.03,79.979998,232.43412412986342,2.906153162567764,80.023,309.3709500000003,3.866025392699602
42,16,100,0.2,79.91004500000001,263.535194211562,3.2978982080608508,80.023,339.102175000015,4.237558889319509
43,21,60,0.2,79.91037899999999,229.6387607454304,2.8737038119344978,80.044,306.06242499999723,3.823677289990471
44,30,10,0.5,79.510548,188.77837793769433,2.3742557772044828,80.022,258.8174250000036,3.2343283721976905
45,18,100,0.04,79.99999799999999,265.04719795985574,3.3130900573254487,80.024,342.2905250000168,4.277348357992812
46,32,0,0.03,79.979993,152.19010819406273,1.9028522319833505,80.026,200.0834999999989,2.5002311748681545
47,20,10,2.0,79.510581,177.3618790747854,2.2306701428176634,80.022,254.7745750000268,3.183806640674149
48,8,70,2.0,79.510618,234.47856420977465,2.9490220313691267,80.034,313.50114999999977,3.917099607666739
49,29,30,0.1,80.010209,206.87888716732698,2.58565612754901,80.137,280.2207499999945,3.4967711543980244
50,24,10,2.0,79.510396,182.39794676104196,2.2940138137538892,80.022,254.7274500000235,3.1832177401217603
51,1,20,0.04,79.957609,200.31787700818904,2.5053009902808503,80.022,274.9259999999945,3.435630201694465
52,11,5,0.03,79.979997,182.24438376074642,2.2786245385923984,80.023,253.76855000000543,3.171195156392605
53,33,40,0.2,79.910005,212.46200376494662,2.6587659926306677,80.025,287.32504999999026,3.5904411121523307
54,22,70,2.0,79.50985299999999,229.56964683273654,2.8873106686882766,80.028,316.46867500000656,3.9544743714700674
55,30,50,0.1,79.91015300000001,224.65547345422885,2.8113508111319576,80.022,297.4709000000007,3.7173639749069096
56,19,50,2.0,79.51193599999999,218.06817651739465,2.7425841639347666,80.04,291.34624999999073,3.6400081209394144
