cpuload,phase,mean_pi,mean_siglent,abs_error_W,rel_error_%
0,idle,,,,
0,load,,,,
10,idle,,,,
10,load,,,,
20,idle,,,,
20,load,,,,
30,idle,,,,
30,load,,,,
40,idle,,,,
40,load,,,,
50,idle,,,,
50,load,,,,
60,idle,,,,
60,load,,,,
70,idle,,,,
70,load,,,,
80,idle,,,,
80,load,,,,
90,idle,,,,
90,load,,,,
100,idle,,,,
100,load,,,,
