"index","time","minutes","dateTime","SPD33.CH1_Voltage","SPD33.CH1_Current","SPD33.CH1_Power","SPD33.CH2_Voltage","SPD33.CH2_Current","SPD33.CH2_Power"
76,22.815,0.38025,1758013552.397,5,0.39,1.95,0,0,0
77,23.114,0.3852333333,1758013552.705,5,0.39,1.95,0,0,0
78,23.417,0.3902833333,1758013553.007,5,0.39,1.95,0,0,0
79,23.718,0.3953,1758013553.305,5,0.38,1.9,0,0,0
80,24.018,0.4003,1758013553.605,5,0.39,1.95,0,0,0
81,24.314,0.4052333333,1758013553.903,5,0.39,1.95,0,0,0
82,24.615,0.41025,1758013554.205,5,0.39,1.95,0,0,0
83,24.915,0.41525,1758013554.504,5,0.38,1.9,0,0,0
84,25.219,0.4203166667,1758013554.808,5,0.38,1.9,0,0,0
85,25.519,0.4253166667,1758013555.107,5,0.39,1.95,0,0,0
86,25.816,0.4302666667,1758013555.404,5,0.41,2.05,0,0,0
87,26.116,0.4352666667,1758013555.705,5,0.38,1.9,0,0,0
88,26.416,0.4402666667,1758013555.997,5,0.39,1.95,0,0,0
89,26.717,0.4452833333,1758013556.304,5,0.39,1.95,0,0,0
90,27.015,0.45025,1758013556.604,5,0.39,1.95,0,0,0
91,27.319,0.4553166667,1758013556.908,5,0.38,1.9,0,0,0
92,27.615,0.46025,1758013557.203,5,0.38,1.9,0,0,0
93,27.919,0.4653166667,1758013557.508,5,0.42,2.1,0,0,0
94,28.217,0.4702833333,1758013557.805,5,0.48,2.4,0,0,0
95,28.517,0.4752833333,1758013558.106,5,0.39,1.95,0,0,0
96,28.819,0.4803166667,1758013558.405,5,0.39,1.95,0,0,0
97,29.118,0.4853,1758013558.706,5,0.39,1.95,0,0,0
98,29.418,0.4903,1758013559.006,5,0.39,1.95,0,0,0
99,29.719,0.4953166667,1758013559.307,5,0.38,1.9,0,0,0
100,30.019,0.5003166667,1758013559.606,5,0.38,1.9,0,0,0
101,30.318,0.5053,1758013559.908,5,0.38,1.9,0,0,0
102,30.619,0.5103166667,1758013560.206,5,0.39,1.95,0,0,0
103,30.919,0.5153166667,1758013560.507,5,0.39,1.95,0,0,0
104,31.219,0.5203166667,1758013560.807,5,0.39,1.95,0,0,0
105,31.518,0.5253,1758013561.108,5,0.39,1.95,0,0,0
106,31.819,0.5303166667,1758013561.408,5,0.39,1.95,0,0,0
107,32.119,0.5353166667,1758013561.706,5,0.39,1.95,0,0,0
108,32.416,0.5402666667,1758013562.003,5,0.39,1.95,0,0,0
109,32.715,0.54525,1758013562.302,5,0.38,1.9,0,0,0
110,33.019,0.5503166667,1758013562.609,5,0.38,1.9,0,0,0
111,33.319,0.5553166667,1758013562.908,5,0.38,1.9,0,0,0
112,33.618,0.5603,1758013563.202,5,0.38,1.9,0,0,0
113,33.918,0.5653,1758013563.506,5,0.38,1.9,0,0,0
114,34.219,0.5703166667,1758013563.807,5,0.39,1.95,0,0,0
115,34.518,0.5753,1758013564.107,5,0.39,1.95,0,0,0
116,34.816,0.5802666667,1758013564.405,5,0.38,1.9,0,0,0
117,35.118,0.5853,1758013564.708,5,0.39,1.95,0,0,0
118,35.416,0.5902666667,1758013565.005,5,0.39,1.95,0,0,0
119,35.716,0.5952666667,1758013565.304,5,0.39,1.95,0,0,0
120,36.016,0.6002666667,1758013565.605,5,0.39,1.95,0,0,0
121,36.316,0.6052666667,1758013565.907,5,0.39,1.95,0,0,0
122,36.616,0.6102666667,1758013566.204,5,0.39,1.95,0,0,0
123,36.919,0.6153166667,1758013566.505,5,0.38,1.9,0,0,0
124,37.218,0.6203,1758013566.807,5,0.39,1.95,0,0,0
125,37.518,0.6253,1758013567.106,5,0.39,1.95,0,0,0
126,37.817,0.6302833333,1758013567.404,5,0.39,1.95,0,0,0
127,38.119,0.6353166667,1758013567.706,5,0.39,1.95,0,0,0
128,38.417,0.6402833333,1758013568.005,5,0.39,1.95,0,0,0
129,38.715,0.64525,1758013568.304,5,0.39,1.95,0,0,0
130,39.019,0.6503166667,1758013568.606,5,0.39,1.95,0,0,0
131,39.317,0.6552833333,1758013568.904,5,0.39,1.95,0,0,0
132,39.618,0.6603,1758013569.205,5,0.39,1.95,0,0,0
133,39.918,0.6653,1758013569.507,5,0.39,1.95,0,0,0
134,40.218,0.6703,1758013569.804,5,0.39,1.95,0,0,0
135,40.515,0.67525,1758013570.104,5,0.39,1.95,0,0,0
136,40.816,0.6802666667,1758013570.403,5,0.39,1.95,0,0,0
137,41.116,0.6852666667,1758013570.704,5,0.39,1.95,0,0,0
138,41.418,0.6903,1758013571.006,5,0.39,1.95,0,0,0
139,41.718,0.6953,1758013571.307,5,0.39,1.95,0,0,0
140,42.019,0.7003166667,1758013571.605,5,0.38,1.9,0,0,0
141,42.319,0.7053166667,1758013571.907,5,0.39,1.95,0,0,0
142,42.618,0.7103,1758013572.209,5,0.39,1.95,0,0,0
143,42.918,0.7153,1758013572.509,5,0.39,1.95,0,0,0
144,43.215,0.72025,1758013572.805,5,0.39,1.95,0,0,0
145,43.519,0.7253166667,1758013573.108,5,0.39,1.95,0,0,0
146,43.817,0.7302833333,1758013573.405,5,0.39,1.95,0,0,0
147,44.119,0.7353166667,1758013573.708,5,0.44,2.2,0,0,0
148,44.415,0.74025,1758013574,5,0.39,1.95,0,0,0
149,44.717,0.7452833333,1758013574.306,5,0.39,1.95,0,0,0
150,45.019,0.7503166667,1758013574.609,5,0.39,1.95,0,0,0
151,45.318,0.7553,1758013574.906,5,0.38,1.9,0,0,0
152,45.617,0.7602833333,1758013575.211,5,0.38,1.9,0,0,0
153,45.918,0.7653,1758013575.508,5,0.39,1.95,0,0,0
154,46.219,0.7703166667,1758013575.808,5,0.38,1.9,0,0,0
155,46.519,0.7753166667,1758013576.111,5,0.38,1.9,0,0,0
156,46.814,0.7802333333,1758013576.403,5,0.39,1.95,0,0,0
157,47.119,0.7853166667,1758013576.709,5,0.39,1.95,0,0,0
158,47.418,0.7903,1758013577.01,5,0.39,1.95,0,0,0
159,47.714,0.7952333333,1758013577.304,5,0.39,1.95,0,0,0
160,48.015,0.80025,1758013577.598,5,0.39,1.95,0,0,0
161,48.319,0.8053166667,1758013577.909,5,0.39,1.95,0,0,0
162,48.619,0.8103166667,1758013578.208,5,0.39,1.95,0,0,0
163,48.914,0.8152333333,1758013578.503,5,0.39,1.95,0,0,0
164,49.217,0.8202833333,1758013578.808,5,0.39,1.95,0,0,0
165,49.519,0.8253166667,1758013579.111,5,0.39,1.95,0,0,0
166,49.819,0.8303166667,1758013579.41,5,0.39,1.95,0,0,0
167,50.118,0.8353,1758013579.709,5,0.39,1.95,0,0,0
168,50.415,0.84025,1758013580.005,5,0.39,1.95,0,0,0
169,50.718,0.8453,1758013580.307,5,0.42,2.1,0,0,0
170,51.017,0.8502833333,1758013580.606,5,0.39,1.95,0,0,0
171,51.319,0.8553166667,1758013580.907,5,0.39,1.95,0,0,0
172,51.616,0.8602666667,1758013581.2,5,0.39,1.95,0,0,0
173,51.917,0.8652833333,1758013581.506,5,0.39,1.95,0,0,0
174,52.215,0.87025,1758013581.804,5,0.38,1.9,0,0,0
175,52.517,0.8752833333,1758013582.108,5,0.39,1.95,0,0,0
176,52.815,0.88025,1758013582.403,5,0.39,1.95,0,0,0
177,53.118,0.8853,1758013582.707,5,0.39,1.95,0,0,0
178,53.419,0.8903166667,1758013583.006,5,0.39,1.95,0,0,0
179,53.719,0.8953166667,1758013583.306,5,0.39,1.95,0,0,0
180,54.019,0.9003166667,1758013583.608,5,0.38,1.9,0,0,0
181,54.317,0.9052833333,1758013583.906,5,0.39,1.95,0,0,0
182,54.616,0.9102666667,1758013584.206,5,0.39,1.95,0,0,0
183,54.919,0.9153166667,1758013584.507,5,0.38,1.9,0,0,0
184,55.215,0.92025,1758013584.798,5,0.39,1.95,0,0,0
185,55.519,0.9253166667,1758013585.107,5,0.39,1.95,0,0,0
186,55.818,0.9303,1758013585.408,5,0.38,1.9,0,0,0
187,56.117,0.9352833333,1758013585.705,5,0.39,1.95,0,0,0
188,56.417,0.9402833333,1758013586.007,5,0.38,1.9,0,0,0
189,56.715,0.94525,1758013586.305,5,0.38,1.9,0,0,0
190,57.016,0.9502666667,1758013586.607,5,0.39,1.95,0,0,0
191,57.318,0.9553,1758013586.908,5,0.39,1.95,0,0,0
192,57.616,0.9602666667,1758013587.205,5,0.39,1.95,0,0,0
193,57.918,0.9653,1758013587.508,5,0.39,1.95,0,0,0
194,58.219,0.9703166667,1758013587.808,5,0.39,1.95,0,0,0
195,58.516,0.9752666667,1758013588.106,5,0.38,1.9,0,0,0
196,58.818,0.9803,1758013588.405,5,0.38,1.9,0,0,0
197,59.118,0.9853,1758013588.706,5,0.38,1.9,0,0,0
198,59.415,0.99025,1758013589.004,5,0.39,1.95,0,0,0
199,59.718,0.9953,1758013589.307,5,0.39,1.95,0,0,0
200,60.018,1.0003,1758013589.606,5,0.39,1.95,0,0,0
201,60.315,1.00525,1758013589.905,5,0.46,2.3,0,0,0
202,60.617,1.0102833333,1758013590.206,5,0.4,2,0,0,0
203,60.918,1.0153,1758013590.509,5,0.38,1.9,0,0,0
204,61.219,1.0203166667,1758013590.808,5,0.38,1.9,0,0,0
205,61.518,1.0253,1758013591.109,5,0.4,2,0,0,0
206,61.819,1.0303166667,1758013591.408,5,0.39,1.95,0,0,0
207,62.118,1.0353,1758013591.709,5,0.39,1.95,0,0,0
208,62.417,1.0402833333,1758013592.008,5,0.39,1.95,0,0,0
209,62.718,1.0453,1758013592.31,5,0.39,1.95,0,0,0
210,63.015,1.05025,1758013592.603,5,0.39,1.95,0,0,0
211,63.318,1.0553,1758013592.908,5,0.38,1.9,0,0,0
212,63.619,1.0603166667,1758013593.208,5,0.39,1.95,0,0,0
213,63.915,1.06525,1758013593.503,5,0.39,1.95,0,0,0
214,64.216,1.0702666667,1758013593.805,5,0.39,1.95,0,0,0
215,64.519,1.0753166667,1758013594.108,5,0.39,1.95,0,0,0
216,64.815,1.08025,1758013594.405,5,0.39,1.95,0,0,0
217,65.117,1.0852833333,1758013594.703,5,0.38,1.9,0,0,0
218,65.418,1.0903,1758013595.007,5,0.39,1.95,0,0,0
219,65.718,1.0953,1758013595.304,5,0.38,1.9,0,0,0
220,66.018,1.1003,1758013595.606,5,0.38,1.9,0,0,0
221,66.318,1.1053,1758013595.907,5,0.38,1.9,0,0,0
222,66.619,1.1103166667,1758013596.207,5,0.39,1.95,0,0,0
223,66.917,1.1152833333,1758013596.507,5,0.38,1.9,0,0,0
224,67.216,1.1202666667,1758013596.806,5,0.38,1.9,0,0,0
225,67.517,1.1252833333,1758013597.106,5,0.39,1.95,0,0,0
226,67.815,1.13025,1758013597.405,5,0.39,1.95,0,0,0
227,68.119,1.1353166667,1758013597.709,5,0.39,1.95,0,0,0
228,68.414,1.1402333333,1758013598.003,5,0.38,1.9,0,0,0
229,68.718,1.1453,1758013598.308,5,0.39,1.95,0,0,0
230,69.018,1.1503,1758013598.609,5,0.39,1.95,0,0,0
231,69.318,1.1553,1758013598.907,5,0.38,1.9,0,0,0
