index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,
97,29.125,0.485416667,1756803380,5,0.46,2.3,0
98,29.427,0.49045,1756803380,5,0.46,2.3,0
99,29.724,0.4954,1756803380,5,0.46,2.3,0
100,30.025,0.500416667,1756803380,5,0.46,2.3,0
101,30.327,0.50545,1756803381,5,0.46,2.3,0
102,30.627,0.51045,1756803381,5,0.46,2.3,0
103,30.926,0.515433333,1756803381,5,0.46,2.3,0
104,31.227,0.52045,1756803382,5,0.46,2.3,0
105,31.527,0.52545,1756803382,5,0.45,2.25,0
106,31.827,0.53045,1756803382,5,0.46,2.3,0
107,32.124,0.5354,1756803383,5,0.46,2.3,0
108,32.427,0.54045,1756803383,5,0.45,2.25,0
109,32.725,0.545416667,1756803383,5,0.46,2.3,0
110,33.026,0.550433333,1756803383,5,0.46,2.3,0
111,33.325,0.555416667,1756803384,5,0.46,2.3,0
112,33.623,0.560383333,1756803384,5,0.46,2.3,0
113,33.927,0.56545,1756803384,5,0.46,2.3,0
114,34.225,0.570416667,1756803385,5,0.46,2.3,0
115,34.527,0.57545,1756803385,5,0.46,2.3,0
116,34.825,0.580416667,1756803385,5,0.47,2.35,0
117,35.127,0.58545,1756803386,5,0.56,2.8,0
118,35.427,0.59045,1756803386,5,0.46,2.3,0
119,35.723,0.595383333,1756803386,5,0.46,2.3,0
120,36.027,0.60045,1756803386,5,0.46,2.3,0
121,36.327,0.60545,1756803387,5,0.46,2.3,0
122,36.627,0.61045,1756803387,5,0.46,2.3,0
123,36.926,0.615433333,1756803387,5,0.47,2.35,0
124,37.227,0.62045,1756803388,5,0.47,2.35,0
125,37.527,0.62545,1756803388,5,0.46,2.3,0
126,37.827,0.63045,1756803388,5,0.46,2.3,0
127,38.127,0.63545,1756803389,5,0.46,2.3,0
128,38.427,0.64045,1756803389,5,0.47,2.35,0
129,38.724,0.6454,1756803389,5,0.46,2.3,0
130,39.027,0.65045,1756803389,5,0.46,2.3,0
131,39.327,0.65545,1756803390,5,0.46,2.3,0
132,39.625,0.660416667,1756803390,5,0.46,2.3,0
133,39.923,0.665383333,1756803390,5,0.46,2.3,0
134,40.226,0.670433333,1756803391,5,0.46,2.3,0
135,40.527,0.67545,1756803391,5,0.47,2.35,0
136,40.825,0.680416667,1756803391,5,0.46,2.3,0
137,41.127,0.68545,1756803392,5,0.46,2.3,0
138,41.423,0.690383333,1756803392,5,0.46,2.3,0
139,41.724,0.6954,1756803392,5,0.45,2.25,0
140,42.024,0.7004,1756803392,5,0.45,2.25,0
141,42.323,0.705383333,1756803393,5,0.46,2.3,0
142,42.624,0.7104,1756803393,5,0.46,2.3,0
143,42.924,0.7154,1756803393,5,0.46,2.3,0
144,43.224,0.7204,1756803394,5,0.45,2.25,0
145,43.524,0.7254,1756803394,5,0.46,2.3,0
146,43.826,0.730433333,1756803394,5,0.46,2.3,0
147,44.127,0.73545,1756803395,5,0.46,2.3,0
148,44.427,0.74045,1756803395,5,0.46,2.3,0
149,44.725,0.745416667,1756803395,5,0.46,2.3,0
150,45.025,0.750416667,1756803395,5,0.46,2.3,0
151,45.326,0.755433333,1756803396,5,0.46,2.3,0
152,45.627,0.76045,1756803396,5,0.45,2.25,0
153,45.924,0.7654,1756803396,5,0.46,2.3,0
154,46.222,0.770366667,1756803397,5,0.47,2.35,0
155,46.528,0.775466667,1756803397,5,0.47,2.35,0
156,46.825,0.780416667,1756803397,5,0.46,2.3,0
157,47.127,0.78545,1756803398,5,0.47,2.35,0
158,47.427,0.79045,1756803398,5,0.46,2.3,0
159,47.728,0.795466667,1756803398,5,0.46,2.3,0
160,48.027,0.80045,1756803398,5,0.46,2.3,0
161,48.325,0.805416667,1756803399,5,0.45,2.25,0
162,48.627,0.81045,1756803399,5,0.45,2.25,0
163,48.927,0.81545,1756803399,5,0.46,2.3,0
164,49.224,0.8204,1756803400,5,0.46,2.3,0
165,49.526,0.825433333,1756803400,5,0.46,2.3,0
166,49.823,0.830383333,1756803400,5,0.46,2.3,0
167,50.127,0.83545,1756803401,5,0.46,2.3,0
168,50.426,0.840433333,1756803401,5,0.46,2.3,0
169,50.724,0.8454,1756803401,5,0.46,2.3,0
170,51.027,0.85045,1756803401,5,0.46,2.3,0
171,51.327,0.85545,1756803402,5,0.46,2.3,0
172,51.627,0.86045,1756803402,5,0.54,2.7,0
173,51.924,0.8654,1756803402,5,0.46,2.3,0
174,52.227,0.87045,1756803403,5,0.46,2.3,0
175,52.527,0.87545,1756803403,5,0.46,2.3,0
176,52.824,0.8804,1756803403,5,0.46,2.3,0
177,53.127,0.88545,1756803404,5,0.46,2.3,0
178,53.427,0.89045,1756803404,5,0.46,2.3,0
179,53.725,0.895416667,1756803404,5,0.45,2.25,0
180,54.023,0.900383333,1756803404,5,0.45,2.25,0
181,54.327,0.90545,1756803405,5,0.46,2.3,0
182,54.627,0.91045,1756803405,5,0.45,2.25,0
183,54.926,0.915433333,1756803405,5,0.46,2.3,0
