time_datetime,time,voltage,current,cpuload
0 days 00:00:55.474000,55.6225,0.7795350000000001,0.674215,0.0
0 days 00:00:55.774000,55.972,0.7492709999999999,0.6191466666666666,0.0
0 days 00:00:56.074000,56.272333333333336,0.7903696666666667,0.6876099999999999,0.0
0 days 00:00:56.374000,56.572333333333326,0.7488230000000001,0.6251,0.0
0 days 00:00:56.674000,56.87233333333333,0.7919813333333333,0.6876099999999999,0.0
0 days 00:00:56.974000,57.172,0.7492709999999999,0.6221233333333333,0.0
0 days 00:00:57.274000,57.47233333333333,0.7909963333333333,0.6876099999999999,0.0
0 days 00:00:57.574000,57.772,0.7491813333333334,0.6251,0.0
0 days 00:00:57.874000,58.07233333333334,0.7904589999999999,0.6846333333333333,0.0
0 days 00:00:58.174000,58.37199999999999,0.7909966666666667,0.6846333333333333,0.0
0 days 00:00:58.474000,58.672333333333334,0.7493603333333333,0.6191466666666666,0.0
0 days 00:00:58.774000,58.97233333333333,0.7905486666666667,0.6876099999999999,0.0
0 days 00:00:59.074000,59.272,0.751778,0.61617,0.0
0 days 00:00:59.374000,59.57266666666667,0.7903693333333334,0.6876099999999999,0.0
0 days 00:00:59.674000,59.87199999999999,0.7492709999999999,0.6221233333333333,0.0
0 days 00:00:59.974000,60.172666666666665,0.8349603333333334,0.7620266666666667,0.0
0 days 00:01:00.274000,60.47233333333333,0.7483753333333333,0.6251,0.0
0 days 00:01:00.574000,60.772333333333336,0.7489126666666666,0.6251,0.0
0 days 00:01:00.874000,61.072333333333326,0.7909963333333333,0.6846333333333333,0.0
0 days 00:01:01.174000,61.37199999999999,0.7488229999999999,0.61617,0.0
0 days 00:01:01.474000,61.673,0.7907276666666666,0.6876099999999999,0.0
0 days 00:01:01.774000,61.972,0.7492709999999999,0.6251,0.0
0 days 00:01:02.074000,62.272333333333336,0.791086,0.6876099999999999,0.0
0 days 00:01:02.374000,62.572,0.764045,0.6637966666666667,0.0
0 days 00:01:02.674000,62.87233333333334,0.7498976666666666,0.6191466666666666,0.0
0 days 00:01:02.974000,63.172,0.7907276666666666,0.6905866666666666,0.0
0 days 00:01:03.274000,63.472,0.7491813333333334,0.6221233333333333,0.0
0 days 00:01:03.574000,63.77266666666666,0.7901903333333333,0.6876099999999999,0.0
0 days 00:01:03.874000,64.072,0.749181,0.6221233333333333,0.0
0 days 00:01:04.174000,64.37233333333334,0.7904593333333333,0.6876099999999999,0.0
0 days 00:01:04.474000,64.67200000000001,0.7490916666666667,0.6251,0.0
0 days 00:01:04.774000,64.97266666666667,0.7909963333333333,0.6816566666666667,0.0
0 days 00:01:05.074000,65.272,0.7482856666666667,0.6251,0.0
0 days 00:01:05.374000,65.572,0.7489126666666667,0.6221233333333333,0.0
0 days 00:01:05.674000,65.87266666666666,0.7905486666666667,0.6876099999999999,0.0
0 days 00:01:05.974000,66.17200000000001,0.7490023333333333,0.6191466666666666,0.0
0 days 00:01:06.274000,66.47233333333334,0.7916233333333333,0.6876099999999999,0.0
0 days 00:01:06.574000,66.772,0.7492709999999999,0.6221233333333333,0.0
0 days 00:01:06.874000,67.07266666666666,0.7903696666666667,0.6846333333333333,0.0
0 days 00:01:07.174000,67.372,0.7491813333333334,0.6251,0.0
0 days 00:01:07.474000,67.67200000000001,0.7487336666666667,0.6221233333333333,0.0
0 days 00:01:07.774000,67.97266666666667,0.7905486666666667,0.6846333333333333,0.0
0 days 00:01:08.074000,68.272,0.7489126666666667,0.6251,0.0
0 days 00:01:08.374000,68.57366666666667,0.790728,0.6846333333333333,0.0
0 days 00:01:08.674000,68.872,0.7491813333333334,0.6221233333333333,0.0
0 days 00:01:08.974000,69.17233333333333,0.7910856666666666,0.6846333333333333,0.0
0 days 00:01:09.274000,69.472,0.7513303333333333,0.6221233333333333,0.0
0 days 00:01:09.574000,69.77233333333334,0.7909069999999999,0.6876099999999999,0.0
0 days 00:01:09.874000,70.07233333333333,0.748644,0.6221233333333333,0.0
0 days 00:01:10.174000,70.372,0.7481066666666667,0.61617,0.0
0 days 00:01:10.474000,70.67233333333333,0.7906383333333333,0.6846333333333333,0.0
0 days 00:01:10.774000,70.972,0.7498976666666667,0.6251,0.0
0 days 00:01:11.074000,71.27233333333334,0.7908173333333334,0.6846333333333333,0.0
0 days 00:01:11.374000,71.572,0.7515986666666666,0.6191466666666666,0.0
0 days 00:01:11.674000,71.87433333333333,0.8324536666666668,0.7590499999999999,0.0
0 days 00:01:11.974000,72.17233333333333,0.7494496666666667,0.6221233333333333,0.0
0 days 00:01:12.274000,72.472,0.7490916666666667,0.6191466666666666,0.0
0 days 00:01:12.574000,72.772,0.7917126666666667,0.6876099999999999,0.0
0 days 00:01:12.874000,73.072,0.7495393333333333,0.6221233333333333,0.0
0 days 00:01:13.174000,73.37333333333333,0.8335276666666666,0.7501199999999999,0.0
0 days 00:01:13.474000,73.67200000000001,0.7489126666666667,0.6191466666666666,0.0
0 days 00:01:13.774000,73.97233333333334,0.7909963333333333,0.6846333333333333,0.0
0 days 00:01:14.074000,74.27233333333334,0.7492706666666665,0.61617,0.0
0 days 00:01:14.374000,74.57233333333333,0.7907276666666667,0.6876099999999999,0.0
0 days 00:01:14.674000,74.872,0.7487336666666667,0.6221233333333333,0.0
