,round,load,period,start_time,id,channelId,exp_duration,end_time,experiment,duration,energy,power_avg,ID
45,12,15,0.0,1765675414335,1314,CH1,80026,1765675494361,stress-ng,80.026,258.981925000018,3.236222290255892,416
46,2,30,0.0,1765557525090,162,CH1,80022,1765557605112,stress-ng,80.022,279.50194999999115,3.492813851190812,419
47,16,90,0.0,1765730673047,1854,CH1,80028,1765730753075,stress-ng,80.028,328.89104999999864,4.10969973009445,427
48,34,5,0.0,1765936976707,3870,CH1,80022,1765937056729,stress-ng,80.022,243.6018750000065,3.0441862862713567,434
49,15,15,0.0,1765711332633,1665,CH1,80022,1765711412655,stress-ng,80.022,257.4529500000222,3.217277123791235,446
50,25,100,0.0,1765839350240,2916,CH1,80023,1765839430263,stress-ng,80.023,338.1568750000088,4.2257460355149,467
51,10,90,0.0,1765658834375,1152,CH1,80026,1765658914401,stress-ng,80.026,330.144274999996,4.1254626621347565,477
52,20,80,0.0,1765777643810,2313,CH1,80028,1765777723838,stress-ng,80.028,321.5673999999985,4.018186134852783,478
53,2,70,0.0,1765561208585,198,CH1,80033,1765561288618,stress-ng,80.033,316.4865999999941,3.9544512888432783,490
54,22,5,0.0,1765793300575,2466,CH1,80023,1765793380598,stress-ng,80.023,233.88547500001823,2.9227281531561955,492
55,15,5,0.0,1765709490538,1647,CH1,80027,1765709570565,stress-ng,80.027,237.50797500000766,2.967848038787005,493
56,8,10,0.0,1765626599517,837,CH1,80026,1765626679543,stress-ng,80.026,253.0469500000185,3.16205920575836,500
57,35,30,0.0,1765952634873,4023,CH1,80023,1765952714896,stress-ng,80.023,275.06175000000275,3.437283655948949,501
58,25,50,0.0,1765834745901,2871,CH1,80022,1765834825923,stress-ng,80.022,293.1341249999849,3.6631691909722943,502
59,12,5,0.0,1765673571774,1296,CH1,80022,1765673651796,stress-ng,80.022,244.9456500000283,3.0609788558150046,507
60,2,20,0.0,1765556603916,153,CH1,80120,1765556684036,stress-ng,80.12,266.79922500000066,3.3299953195207275,524
61,29,40,0.0,1765881717742,3330,CH1,80022,1765881797764,stress-ng,80.022,285.18812499999285,3.5638714978380053,536
62,31,30,0.0,1765904742721,3555,CH1,80099,1765904822820,stress-ng,80.099,278.3220749999974,3.4747259641193704,550
63,15,60,0.0,1765715937219,1710,CH1,80022,1765716017241,stress-ng,80.022,304.9172749999981,3.8104180725300307,553
64,14,30,0.0,1765701201184,1566,CH1,80094,1765701281278,stress-ng,80.094,274.992974999999,3.4333779683871324,562
65,3,10,0.0,1765566734077,252,CH1,80022,1765566814099,stress-ng,80.022,257.7486500000074,3.220972357601752,614
66,9,0,0.0,1765636730342,936,CH1,80025,1765636810367,stress-ng,80.025,206.33029999999607,2.5783230240549337,627
67,17,20,0.0,1765736200627,1908,CH1,80104,1765736280731,stress-ng,80.104,265.7194250000123,3.3171804778789107,651
68,24,70,0.0,1765824615940,2772,CH1,80036,1765824695976,stress-ng,80.036,312.1956250000007,3.9006900019991093,660
69,8,20,0.0,1765628441503,855,CH1,80022,1765628521525,stress-ng,80.022,266.1801500000079,3.3263371322887196,676
70,22,10,0.0,1765794222512,2475,CH1,80022,1765794302534,stress-ng,80.022,256.03067500001845,3.199503574017376,685
71,31,5,0.0,1765901057756,3519,CH1,80025,1765901137781,stress-ng,80.025,240.72795000001926,3.0081593252111123,686
72,29,30,0.0,1765880796567,3321,CH1,80023,1765880876590,stress-ng,80.023,276.6745500000001,3.457437861614787,690
73,31,60,0.0,1765907504592,3582,CH1,80023,1765907584615,stress-ng,80.023,307.66489999999476,3.844705897054532,701
74,6,20,0.0,1765604496889,621,CH1,80090,1765604576979,stress-ng,80.09,267.28662500000564,3.3373283181421605,721
75,25,10,0.0,1765830141050,2826,CH1,80023,1765830221073,stress-ng,80.023,253.3093250000192,3.1654564937582843,723
76,5,0,0.0,1765588838480,468,CH1,80026,1765588918506,stress-ng,80.026,207.46857500000073,2.5925146202484286,749
77,21,20,0.0,1765784091451,2376,CH1,80022,1765784171473,stress-ng,80.022,265.3567000000045,3.316046837119848,751
78,21,90,0.0,1765790537523,2439,CH1,80031,1765790617554,stress-ng,80.031,331.4635999999964,4.141690095088109,761
79,32,100,0.0,1765923160555,3735,CH1,80024,1765923240579,stress-ng,80.024,338.8829500000067,4.234766445066564,768
80,6,30,0.0,1765605417956,630,CH1,80022,1765605497978,stress-ng,80.022,274.77432500000236,3.433734785434035,808
81,19,30,0.0,1765761066804,2151,CH1,80022,1765761146826,stress-ng,80.022,273.90389999999917,3.4228574641973353,810
82,28,30,0.0,1765868823983,3204,CH1,80023,1765868904006,stress-ng,80.023,277.3882749999954,3.466356859902721,813
83,33,20,0.0,1765927766667,3780,CH1,80023,1765927846690,stress-ng,80.023,265.68415000000573,3.3200973470128052,819
84,23,30,0.0,1765808959690,2619,CH1,80131,1765809039821,stress-ng,80.131,278.0882999999974,3.4704209357177294,823
85,15,0,0.0,1765708569523,1638,CH1,80025,1765708649548,stress-ng,80.025,205.16899999999586,2.5638113089658967,830
86,34,80,0.0,1765945265872,3951,CH1,80026,1765945345898,stress-ng,80.026,322.05722499999797,4.024407380101442,842
87,34,40,0.0,1765941582174,3915,CH1,80023,1765941662197,stress-ng,80.023,284.4826250000028,3.5550107469102987,843
88,11,10,0.0,1765662519864,1188,CH1,80022,1765662599886,stress-ng,80.022,251.559300000023,3.1436267526433106,869
89,13,15,0.0,1765687386341,1431,CH1,80022,1765687466363,stress-ng,80.022,259.86322500001967,3.2473972782487275,873
90,21,10,0.0,1765782249363,2358,CH1,80026,1765782329389,stress-ng,80.026,250.0687000000179,3.124843175968034,882
91,12,40,0.0,1765678176713,1341,CH1,80022,1765678256735,stress-ng,80.022,284.3071000000007,3.5528617130289253,898
92,17,30,0.0,1765737121456,1917,CH1,80022,1765737201478,stress-ng,80.022,275.339950000007,3.440803154132701,916
93,16,0,0.0,1765720542253,1755,CH1,80025,1765720622278,stress-ng,80.025,205.3316249999975,2.5658434864104653,919
94,19,10,0.0,1765758303640,2124,CH1,80022,1765758383662,stress-ng,80.022,253.70485000002668,3.1704387543428894,929
95,16,100,0.0,1765731594069,1863,CH1,80025,1765731674094,stress-ng,80.025,337.8105000000062,4.221312089971961,931
96,29,80,0.0,1765885401073,3366,CH1,80023,1765885481096,stress-ng,80.023,324.0525500000003,4.0494926458643175,934
97,4,70,0.0,1765585154337,432,CH1,80042,1765585234379,stress-ng,80.042,316.7021499999941,3.9566996077058807,956
98,17,60,0.0,1765739884360,1944,CH1,80022,1765739964382,stress-ng,80.022,304.2286749999926,3.8018129389416986,960
99,5,50,0.0,1765595286215,531,CH1,80040,1765595366255,stress-ng,80.04,293.62629999999643,3.6684945027485814,971
100,9,60,0.0,1765644099126,1008,CH1,80022,1765644179148,stress-ng,80.022,304.1631999999945,3.800994726450157,994
101,22,30,0.0,1765796985677,2502,CH1,80022,1765797065699,stress-ng,80.022,277.3933000000035,3.4664629726825558,995
