duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.207873,0.146390,0.000000,0.000000,0.222512,0.280092,0.598310,0.000305,0.000672,0.003297,0.015751,3.696993,3.327664,1.796824,1.108424,0.616483,1.104761,0.800365,0.749450,3.304942,3.299447,0.797948,4.925840,4.937900,0.004274
0.489409,1,0.000000,0.213729,0.146390,0.014639,0.000000,0.178595,0.284972,1.089460,0.000183,0.000672,0.003236,0.015751,3.697920,3.294258,1.798777,1.107691,0.602930,1.104761,0.800365,0.749987,3.306773,3.301279,0.797948,4.927180,4.939240,0.004274
1.000060,1,0.000976,0.210801,0.147365,0.000000,0.000000,0.179571,0.281068,0.598310,0.000244,0.000672,0.003419,0.016361,3.704416,3.294258,1.797312,1.112087,0.616483,1.102929,0.799633,0.749718,3.304942,3.301279,0.798241,4.919140,4.939240,0.004274
1.500057,1,0.000000,0.213729,0.147365,0.000000,0.000000,0.178595,0.281068,0.598310,0.000244,0.000672,0.003419,0.016361,3.703488,3.357359,1.796824,1.102929,0.615750,1.104394,0.801098,0.749987,3.305857,3.300363,0.797948,4.925840,4.939240,0.004274
2.000059,1,0.000000,0.215681,0.148341,0.000000,0.000000,0.181523,0.281068,0.598310,0.000061,0.000672,0.003297,0.015995,3.711840,3.327664,1.796824,1.104761,0.615384,1.102929,0.800732,0.749450,3.305857,3.301279,0.797362,4.928520,4.936560,0.004274
2.500057,1,0.001952,0.214705,0.149317,0.000000,0.000000,0.181523,0.281068,0.705470,0.000244,0.000794,0.003419,0.016361,3.711840,3.293330,1.798289,1.109156,0.616117,1.104394,0.801098,0.799682,3.304942,3.301279,0.797948,4.916460,4.928520,0.004274
3.000058,1,0.000000,0.212753,0.147365,0.000000,0.000000,0.178595,0.279116,0.598310,0.000061,0.000672,0.003297,0.016361,3.711840,3.297970,1.797800,1.101830,0.616483,1.100732,0.802930,0.749450,3.305857,3.299447,0.797948,4.928520,4.936560,0.005128
3.500057,1,0.000000,0.213729,0.146390,0.000000,0.000000,0.177619,0.282044,0.598310,0.000977,0.000672,0.003358,0.016361,3.704416,3.311889,1.796335,1.104028,0.615750,1.104394,0.801464,0.749181,3.307689,3.301279,0.797948,4.925840,4.939240,0.004274
4.000058,1,0.000976,0.214705,0.146390,0.000000,0.000000,0.179571,0.282044,0.598310,0.000305,0.000672,0.003419,0.015995,3.704416,3.294258,1.797800,1.107691,0.617216,1.104761,0.799633,0.747569,3.305857,3.299447,0.797948,4.924500,4.935220,0.004274
4.500056,1,0.000000,0.215681,0.147365,0.000000,0.000000,0.179571,0.283020,0.598310,0.000183,0.000672,0.003358,0.015995,3.704416,3.307249,1.797312,1.102563,0.616483,1.100732,0.799633,0.749450,3.306773,3.301279,0.797948,4.924500,4.939240,0.004274
5.000058,1,0.000000,0.213729,0.147365,0.000000,0.000000,0.179571,0.279116,0.607240,0.000305,0.000549,0.003358,0.016117,3.715552,3.307249,1.796824,1.102563,0.616483,1.099999,0.801464,0.747569,3.305857,3.299447,0.797948,4.927180,4.939240,0.004274
5.500056,1,0.000000,0.229344,0.146390,0.000000,0.000000,0.179571,0.280092,0.598310,0.000244,0.000549,0.003419,0.016361,3.700704,3.325809,1.798777,1.109156,0.616117,1.104028,0.799633,0.749450,3.306773,3.299447,0.797948,4.925840,4.939240,0.004274
6.000059,1,0.000000,0.211777,0.147365,0.000000,0.000000,0.178595,0.282044,0.598310,0.000183,0.001038,0.003419,0.015995,3.703488,3.293330,1.796824,1.107691,0.616483,1.104761,0.801831,0.749718,3.306773,3.299447,0.797948,4.927180,4.939240,0.004274
6.500057,1,0.000000,0.213729,0.147365,0.000000,0.000000,0.191282,0.282044,0.598310,0.000305,0.000672,0.003358,0.015995,3.700704,3.301682,1.797800,1.102563,0.616117,1.101098,0.801831,0.749450,3.305857,3.299447,0.797655,4.924500,4.939240,0.004274
