,ID,load,period,filename,duration,energy_3V7_WL_SW,energy_3V3_SYS,energy_1V8_SYS,energy_DDR_VDD2,energy_DDR_VDDQ,energy_1V1_SYS,energy_0V8_SW,energy_VDD_CORE,energy_3V3_DAC,energy_3V3_ADC,energy_0V8_AON,energy_HDMI
0,0,40,0.02,pmic_log_0_1s_20251027_224819.csv,79.988601,0.05910039192531554,54.45644667191171,22.76806198718819,0.048884248347527075,0.0021037943424621402,16.50272707668766,18.543509122584766,92.81346026062748,0.0458659463303249,0.14117975750887124,0.2182363756243093,6.4297070924949375
1,1,0,0.05,pmic_log_0_1s_20251027_224819.csv,79.960689,0.018105179825253257,54.1238217089106,21.68680710304909,0.002278293235853273,0.0,16.41314155901147,18.434590181224856,33.51227820031533,0.04857303565820538,0.15658689677182897,0.21406857074165417,6.788918058090222
2,2,0,0.01,pmic_log_0_1s_20251027_224819.csv,79.970523,0.02490757577436978,54.15036118039092,21.716967129626312,0.0046688594317786485,0.00020323115256419978,16.432699176875506,18.441221450717148,34.87358419834341,0.04616568305734925,0.15294429897985096,0.21406790258186595,6.758718825967236
3,3,80,0.02,pmic_log_0_1s_20251027_224819.csv,79.994015,0.038491440537053716,55.50323856598341,22.817117224826653,0.07972501302070906,0.0024538892632570814,16.52000673179164,18.629657357099532,124.3322585881935,0.045267250360533334,0.14138275507100267,0.22033469617095708,6.348336011906049
4,4,80,0.1,pmic_log_0_1s_20251027_224819.csv,79.90898600000001,0.04088561272406041,55.53117371638031,22.845511168223336,0.03838746152170525,0.00032499363178142994,16.513766477290215,18.59439522324529,124.63222282714193,0.046892657460985226,0.14093009350976335,0.22126564235717622,6.358554554936788
5,5,0,0.1,pmic_log_0_1s_20251027_224819.csv,79.909447,0.022434617528792302,54.11508680967563,21.707025889803088,0.0016185109452000156,0.0,16.43534216193732,18.435228778159022,33.65773826862124,0.05216439727292746,0.16076375282689256,0.21516341825939,6.7970813473472615
6,6,80,0.02,pmic_log_0_1s_20251027_224819.csv,79.991494,0.03798531138400987,55.54871220354404,22.803297356796456,0.06752578893154823,0.002211185249596907,16.53794921484086,18.6261202523889,124.68323846600688,0.043023960424186776,0.1317287791480655,0.22145285913811547,6.316440722764814
7,7,20,0.03,pmic_log_0_1s_20251027_224819.csv,79.978008,0.09068419703993084,54.334196313634905,22.70874689725291,0.017917230087152486,0.0005416378362444329,16.48281937695894,18.498576567382138,77.55666951469783,0.048056613153567976,0.14745338077428133,0.2171283333524296,6.495008816427944
8,8,40,0.01,pmic_log_0_1s_20251027_224819.csv,79.97701,0.05710631450863427,54.451924865985504,22.753137206630278,0.032145857841885714,0.0011276929681253078,16.50364309746769,18.54824930977415,94.29561977550448,0.04324300695928196,0.14092790788262818,0.21785299726674903,6.425759449932878
9,9,0,0.02,pmic_log_0_1s_20251027_224819.csv,79.983519,0.020801138954872966,54.111631519446554,21.701533713691695,0.0037760708514596526,0.0,16.41768051625818,18.436295795657315,34.71468093933522,0.04824187931578068,0.15323704667505922,0.21369369425475454,6.759541061780517
10,10,100,1.0,pmic_log_0_1s_20251027_224819.csv,79.510623,0.08962221165015971,54.74261759993186,22.70218719107362,0.05833761985197827,0.0,16.407117626274424,18.489214793921168,141.26637468037825,0.044794551323369416,0.1422261675937323,0.21902564668588284,6.325919171900716
11,11,40,2.0,pmic_log_0_1s_20251027_224819.csv,79.509978,0.055200129365680445,53.071968960533326,22.313054421005376,0.017780711383198564,0.0,16.08933247851042,18.082464890468923,89.1023593746146,0.053571355292348626,0.14015430480557145,0.21320545086697607,6.301453191741246
12,12,40,0.05,pmic_log_0_1s_20251027_224819.csv,79.958675,0.05596078610743439,54.45920993609507,22.764615262244124,0.10187605522287183,0.004155166615431095,16.502969451787692,18.528438449167297,93.51376145363294,0.04633578028396826,0.14323767870713638,0.21918676878734608,6.448294838684937
13,13,20,1.0,pmic_log_0_1s_20251027_224819.csv,79.510427,0.12670668565016074,53.81318067173604,22.516857280964075,0.15496240351325008,0.0,16.430063912548974,18.379943315415115,76.25617746151974,0.054443098708368616,0.1506500903267142,0.2167042646116899,6.4595087207400494
14,14,80,1.0,pmic_log_0_1s_20251027_224819.csv,79.510456,0.028934955122190055,55.26541660258215,22.637499082534486,0.026941648150612525,0.0,16.494819908678494,18.46931808355332,124.76243457424142,0.05226881715169917,0.14127933676634208,0.21991157642350703,6.304864142198196
15,15,0,0.02,pmic_log_0_1s_20251027_224819.csv,79.986199,0.019935725347841347,54.09676071059766,21.694944339765854,0.0030592657644033213,0.0,16.401632479567954,18.43252355701278,34.333687701633494,0.0446213745452233,0.1516168004129963,0.21287510703696916,6.7618304901256066
16,16,100,0.5,pmic_log_0_1s_20251027_224819.csv,79.509124,0.06157598548152937,55.550022014003126,22.82447751466867,0.025348915372893993,0.0,16.52705976248849,18.58647399664229,137.82189640262294,0.051103409490159395,0.13930176690307267,0.22215634878753135,6.358917626782261
17,17,0,0.2,pmic_log_0_1s_20251027_224819.csv,79.910588,0.0275195086829074,54.10986504814021,21.657296916013657,0.0017211947012980163,0.0,16.38205961908627,18.404752668047465,33.44762755932728,0.04967223593605501,0.1546361877859486,0.2137319094427837,6.785002062570981
18,18,60,0.01,pmic_log_0_1s_20251027_224819.csv,80.02720199999999,0.04081984356401363,55.47580985715057,22.808111770460275,0.06361965683761796,0.0024045344157414775,16.52061130183045,18.606185935940513,109.76710744832405,0.048215833315127014,0.1488774259915801,0.21897274328864494,6.390038675065657
19,19,100,0.2,pmic_log_0_1s_20251027_224819.csv,79.91011800000001,0.07549737730403056,55.058390538709396,22.81790285475852,0.02780267176650511,0.00036067420181998375,16.51334145684096,18.573781908681802,140.38813959068213,0.04782323029797678,0.13414703409932416,0.22169791632059363,6.358570902968857
20,20,100,0.03,pmic_log_0_1s_20251027_224819.csv,79.979997,0.05783516405190175,55.548309934816814,22.803647584187562,0.0688152968683433,0.00207220372892769,16.53046407110997,18.632254908380588,139.88931915368224,0.04580150400481298,0.1384506925939201,0.2209886369984557,6.308684435763519
21,21,60,0.5,pmic_log_0_1s_20251027_224819.csv,79.51053399999999,0.043444417058762924,55.643726228720574,22.78097260617655,0.06137136701545486,0.0,16.570784498859325,18.6324398391496,108.94350854860105,0.04414971599463019,0.1556816372260664,0.21939858423304184,6.414118745662195
22,22,100,0.2,pmic_log_0_1s_20251027_224819.csv,79.91013,0.09217873760224242,55.03376506755341,22.805198124579587,0.047891472945521735,0.0,16.513921601392532,18.622380026619922,139.5291502671406,0.0471648361452555,0.1354245154457624,0.22138040482466692,6.3350551576267895
23,23,100,1.0,pmic_log_0_1s_20251027_224819.csv,79.510093,0.04619157688017488,54.924009147926874,22.695250349110967,0.023782484126869237,0.0,16.394116970401868,18.51771262041234,135.43126318539396,0.046018263722674625,0.14290503676405514,0.2207731680513081,6.283682346511087
24,24,20,0.05,pmic_log_0_1s_20251027_224819.csv,79.960822,0.05098937792874531,54.314582881404725,22.71785789458531,0.06761469829247671,0.00037545302129090934,16.483753290474375,18.50375894331201,77.55397796036385,0.04294423443742204,0.1458448015177023,0.21814761949925843,6.494900390529155
25,25,0,0.03,pmic_log_0_1s_20251027_224819.csv,79.979745,0.020519031144055993,54.10558952192141,21.7425220548915,0.0008744862275275496,0.0,16.427797535569496,18.45226592240287,33.76749116205226,0.04714810610389766,0.15231429540327557,0.21427822890139256,6.7596054475477745
26,26,0,0.05,pmic_log_0_1s_20251027_224819.csv,79.960668,0.022970628777344303,54.13978777095012,21.66736908899794,0.002849833221884862,0.0,16.40532122888588,18.43203444813299,33.38006542574818,0.05307698113752144,0.1570500075356051,0.21416498432120967,6.787158617935824
27,27,60,0.05,pmic_log_0_1s_20251027_224819.csv,79.96015399999999,0.04950408587383741,55.612682148096575,22.802906197629962,0.044617550450284336,0.0009218037012682062,16.522248666556813,18.569312086205123,109.0935475282138,0.04897682997829538,0.14453275543653799,0.21970569145160732,6.40616149701253
28,28,80,2.0,pmic_log_0_1s_20251027_224819.csv,79.510024,0.04620469843920667,54.18816687922272,22.223040397186512,0.17775469325899285,0.0,16.054188025002336,18.16301352340325,142.09128098143486,0.042342223221917205,0.1351025205203636,0.21620288477176336,6.211157005899949
29,29,60,2.0,pmic_log_0_1s_20251027_224819.csv,79.50987699999999,0.07598008949907928,54.12292688880825,22.48630855280803,0.049959052172381016,0.0,16.064978550732697,18.11320366853664,107.88073458145111,0.043845375832235696,0.1441971610916689,0.21383250396919057,6.249713490493981
30,30,80,0.05,pmic_log_0_1s_20251027_224819.csv,79.96087399999999,0.04905792903847393,55.4747650590859,22.792086309809687,0.07174387563468505,0.0015435153305868136,16.522087532399286,18.601094314557937,124.15409093938968,0.04554671849042635,0.13811228568088793,0.22135706217036538,6.347119584166312
31,31,20,0.01,pmic_log_0_1s_20251027_224819.csv,79.993199,0.09288099297751186,54.436953478074685,22.70490370047401,0.01783151586567032,0.001035025276167117,16.49629132159912,18.50289876555059,76.42636310797661,0.04699473244726647,0.14355376997129038,0.21732374452891554,6.479102469104179
32,32,60,1.0,pmic_log_0_1s_20251027_224819.csv,79.510408,0.040703001958224495,55.26160130130961,22.57519337382192,0.07982412189522416,0.0,16.422057073357074,18.469722746388786,112.65002556575087,0.04752396741985621,0.14822433892653236,0.21779361386990884,6.405126902173283
33,33,0,1.0,pmic_log_0_1s_20251027_224819.csv,79.509389,0.03891788304268747,53.59420747746661,21.557695126144115,0.05826122332648019,0.0,16.293779364001338,18.34829131177805,34.252357415051684,0.051562642610361455,0.16384707068301602,0.21497774046748128,6.757110188930996
34,34,40,0.1,pmic_log_0_1s_20251027_224819.csv,79.91060999999999,0.07041146218776712,54.35005759726671,22.717157958567608,0.039238578043077184,0.001283178180994666,16.479229159876443,18.50445907208659,93.75839353963515,0.04233343560284185,0.1455147836638804,0.21869836148969307,6.434389939612426
35,35,40,0.1,pmic_log_0_1s_20251027_224819.csv,79.910124,0.04812960940215993,54.34847239079593,22.740531115871484,0.022215054051809964,0.0,16.4927497184526,18.51591486239255,93.26097966092338,0.048239693171236504,0.15194368622231266,0.21871765883411706,6.46805875702576
36,36,80,0.2,pmic_log_0_1s_20251027_224819.csv,79.91086299999999,0.03294924911597004,55.43051936552601,22.77161365300022,0.06072107760438472,0.0,16.518948166539175,18.572224918898787,122.98366028682658,0.047025544828096934,0.14537903227689644,0.22091159183682613,6.371611133286538
37,37,100,0.04,pmic_log_0_1s_20251027_224819.csv,79.99999299999999,0.13237741497101554,55.307639356619404,22.828464432404118,0.06652041235389437,0.0015247757406035801,16.526121303316465,18.636323678155406,139.47063774632645,0.043891941166992486,0.13731116871902807,0.22170724998683985,6.330643388184495
38,38,40,0.1,pmic_log_0_1s_20251027_224819.csv,79.90951799999999,0.062268308779684214,54.50436970481941,22.748316635402837,0.026725204398054626,0.0006788032942542529,16.49045369766787,18.540678794308455,93.60273791913491,0.049320491388781126,0.1473274112291035,0.21835175437239934,6.41485951389318
39,39,40,0.5,pmic_log_0_1s_20251027_224819.csv,79.510425,0.07967667412939242,54.63321096613856,22.670312332376955,0.021036942962894125,0.00015032024,16.48916563017289,18.508688273678654,87.48419862933122,0.04808594517693569,0.1422389865988065,0.21952800247623583,6.474940767225364
40,40,0,0.1,pmic_log_0_1s_20251027_224819.csv,79.91049,0.027513979916282107,54.034004019619765,21.735394506564585,0.00043083445570999237,0.0,16.396062418735287,18.421122081376275,33.468912676686145,0.04675481943585491,0.15698818604085826,0.2138495873790402,6.8110030700070725
41,41,0,0.03,pmic_log_0_1s_20251027_224819.csv,79.977738,0.02595686706036801,54.09680576304885,21.73888818114259,0.0,0.0,16.42226591917573,18.453171379390156,33.585371919170036,0.046525848540148886,0.15518694184258106,0.2137951577379733,6.77021176825657
42,42,40,0.5,pmic_log_0_1s_20251027_224819.csv,79.509893,0.08324726921178499,54.36341038849792,22.71250965296029,0.042566793449674574,0.0,16.4938174988109,18.524332028814456,94.12136752090976,0.055097268061268335,0.1558053310024951,0.21882089849563524,6.461542589771931
43,43,100,0.04,pmic_log_0_1s_20251027_224819.csv,79.999997,0.05091032517830897,55.47380494505803,22.835081077888553,0.06306971993257993,0.0006655256224970009,16.53470220133448,18.641138179882883,140.09237584547776,0.046560790244149386,0.14028414702421055,0.22145819062720185,6.305207978429606
44,44,80,2.0,pmic_log_0_1s_20251027_224819.csv,79.510418,0.07966802196149146,54.26407667048686,22.17937505930533,0.03813193458876299,0.0,16.224559114241533,18.168417877656797,139.16220461009,0.05419399735486008,0.13136045285213183,0.2161506214384988,6.216334196225004
45,45,60,0.02,pmic_log_0_1s_20251027_224819.csv,79.983059,0.03394024072979596,55.73584931779533,22.798364563584773,0.059291931942675215,0.0019468925011688328,16.520770690105323,18.58739114947603,109.95913178693809,0.046809857967279364,0.1451326504797265,0.21878930487679368,6.36132498721073
46,46,80,0.02,pmic_log_0_1s_20251027_224819.csv,79.975039,0.05164519284238677,55.537110607062935,22.833020875206376,0.07174833708313014,0.0015971900212848498,16.526312700230847,18.622944426075883,125.19694033382783,0.0456127944206137,0.14190008848215893,0.22062511999793166,6.335325367585867
47,47,0,0.1,pmic_log_0_1s_20251027_224819.csv,79.90983800000001,0.02390591999295924,54.04806332043182,21.700527412385863,0.0016142559759000181,0.0,16.409627628460637,18.443137081987445,33.41537004341116,0.04701947427414371,0.15753702476092113,0.2145455259093307,6.79117067131305
48,48,20,0.01,pmic_log_0_1s_20251027_224819.csv,79.988803,0.06414546630375115,54.266373269635615,22.708279689942763,0.02119216376379233,0.0005818864833677793,16.501766075084433,18.500733434636466,77.60087906164136,0.04680517030747165,0.1444685654050373,0.21694548938690147,6.4561139227813795
49,49,60,0.1,pmic_log_0_1s_20251027_224819.csv,80.010369,0.050448165391752786,55.70384198675513,22.805245289202123,0.04707312286746575,0.00017972854533823164,16.521928047025206,18.563691824065028,108.56509993416103,0.051590125033327945,0.15021287419049217,0.21961371503305627,6.40062165413397
50,50,0,2.0,pmic_log_0_1s_20251027_224819.csv,79.51091100000001,0.019025477316762122,53.00412024310729,21.14602870564616,0.02366635859387474,0.0,16.029630086009604,18.008554367631163,33.41987814078409,0.04642792864271049,0.15056106612126008,0.20931352745556334,6.63234730471969
51,51,20,0.2,pmic_log_0_1s_20251027_224819.csv,79.91035699999999,0.06369872078018056,54.155986103977945,22.654341916628706,0.014651396071362814,0.0,16.487425242315247,18.482036306982824,76.47079395562392,0.05363168631821924,0.14802264492715872,0.21723260357688576,6.486848738301596
52,52,100,0.5,pmic_log_0_1s_20251027_224819.csv,79.510688,0.07233377154001225,55.14422897541834,22.793943949931766,0.01622279194439008,0.0,16.533906213821187,18.654764758188747,142.89129749520407,0.05065660698681282,0.13926729097383336,0.2223758875164065,6.33791004840497
53,53,40,0.2,pmic_log_0_1s_20251027_224819.csv,79.910199,0.08906311218322338,54.28504981327733,22.70118678325388,0.02650931020702403,0.0,16.4868865134491,18.506291161543086,90.76022606536483,0.05403398945649611,0.14812308199124877,0.21765482355381094,6.451951987287413
54,54,0,0.01,pmic_log_0_1s_20251027_224819.csv,79.97807,0.025180611059591986,54.179391378550115,21.698408354038033,0.0026550769495638266,0.00013070978789927616,16.427937304401137,18.437209245321792,34.51961989705716,0.0467840017609348,0.1543439140841779,0.21375203670195092,6.7671505781115915
55,55,40,0.5,pmic_log_0_1s_20251027_224819.csv,80.010475,0.06159906290005759,54.59932680493979,22.710815353790224,0.06792299441785113,0.0,16.493807940260044,18.522051605331015,94.47911930348516,0.051514683950601,0.1466060660047105,0.2190002650300898,6.438208652699576
56,56,40,0.01,pmic_log_0_1s_20251027_224819.csv,79.987438,0.07371263494955357,54.4674791590528,22.78192565365267,0.030620576510314162,0.0015964807575650157,16.50468158880687,18.542595767488983,93.412157792899,0.047883369599363935,0.14852988116168023,0.21755058412988196,6.416873953863678
57,57,0,0.2,pmic_log_0_1s_20251027_224819.csv,79.91059,0.024604680590925,54.11478967341026,21.68196382283377,0.021332601359322214,0.0,16.363130001315866,18.39948781384556,33.34647239125797,0.047311872389105766,0.15621874672223143,0.2132438713752991,6.785169991795677
58,58,100,0.01,pmic_log_0_1s_20251027_224819.csv,79.996315,0.06571237532216236,55.139482743617386,22.81691306879262,0.09306615708028056,0.0027953441765598257,16.531148105331955,18.644067424624918,140.7219168368691,0.041816498157161125,0.1344633140028283,0.22176655240025236,6.30417285356496
