,period,load,experiment,power_mean,power_std,energy_mean,energy_std,duration_mean,runs
0,0.0,0,sleep,2.3596780659717873,0.002819723124975969,188.79440357143454,0.2255812475212066,80.00854285714286,35
1,0.01,0,sleep,2.4052881699439355,0.002008420964684354,192.44511357142088,0.16093332577028857,80.00917142857142,35
2,0.01,0,stress-ng,2.404743554489719,0.0024255827129988613,192.43046249999176,0.19148296350486962,80.0212,10
3,0.01,20,stress-ng,3.306820917931674,0.013268397381221536,264.59958500001693,1.0645520972724645,80.0163,10
4,0.01,40,stress-ng,3.530086073924077,0.007123225431128032,282.50920499999796,0.5477706717787203,80.029,10
5,0.01,60,stress-ng,3.754606711133998,0.005568487379315828,300.50558499999397,0.4515289925778651,80.0365,10
6,0.01,80,stress-ng,3.9607199342009354,0.007475572137093383,316.96293500000326,0.589960552613523,80.0266,10
7,0.01,100,stress-ng,4.150843525450569,0.003518828069243323,332.14925500000015,0.283604483928836,80.0197,10
8,0.02,0,sleep,2.4045660294251427,0.0019905136559536765,192.37724214284944,0.16752742716335892,80.00497142857142,35
9,0.02,0,stress-ng,2.41021102711659,0.015616915755426739,192.86533749999217,1.2514306384912666,80.0201,10
10,0.02,20,stress-ng,3.318074833194468,0.0074223025875851285,265.6595725000149,0.6037710563885506,80.0644,10
11,0.02,40,stress-ng,3.5290622959062774,0.009028919884139447,282.42557249999885,0.7315649935480805,80.0285,10
12,0.02,60,stress-ng,3.7581941625069413,0.007525710728269449,300.74948749999453,0.6041723648291487,80.025,10
13,0.02,80,stress-ng,3.9548043398813726,0.007893064176871238,316.4685725000021,0.6257252015394679,80.0213,10
14,0.02,100,stress-ng,4.150029754057218,0.0028537418376434203,332.0787425000008,0.23153718145448846,80.0184,10
15,0.03,0,sleep,2.4058464113143736,0.009085568800014864,192.4866171428497,0.7273678748461881,80.00785714285715,35
16,0.03,0,stress-ng,2.4071295360625937,0.0025125132730637236,192.61634499999144,0.20784246264354495,80.01910000000001,10
17,0.03,20,stress-ng,3.2977119561146218,0.008033737366744023,264.01922500000353,0.5894324427649001,80.0614,10
18,0.03,40,stress-ng,3.5141670541807124,0.00732978900665681,281.2317199999983,0.5738455127215635,80.02799999999999,10
19,0.03,60,stress-ng,3.7446926374429816,0.0067698427664482945,299.64805999999317,0.5432175625879677,80.01939999999999,10
20,0.03,80,stress-ng,3.9434312363103827,0.004617701168000278,315.55927499999825,0.36340982509281716,80.0215,10
21,0.03,100,stress-ng,4.1375663487581305,0.0024068083355919447,331.07688750001023,0.19300803173109302,80.0173,10
22,0.04,0,sleep,2.3938167692055052,0.014480995909886578,191.52649499999544,1.1619582653065395,80.00882857142858,35
23,0.04,0,stress-ng,2.3854719990155986,0.019345740981506262,190.88689749999776,1.5476314366330546,80.0206,10
24,0.04,20,stress-ng,3.2878972075027533,0.00559484488059169,263.0988500000014,0.4502045590603571,80.0204,10
25,0.04,40,stress-ng,3.5056952346581,0.004802824553169479,280.5829024999952,0.4178433224866063,80.03630000000001,10
26,0.04,60,stress-ng,3.7355523734620055,0.009884167614959739,298.95399499999223,0.7829646853095518,80.0294,10
27,0.04,80,stress-ng,3.9281196752150302,0.008166710934784643,314.34188499999857,0.6547315595159586,80.0235,10
28,0.04,100,stress-ng,4.12919934952086,0.0023016652252941996,330.3974675000118,0.17678105143502354,80.0149,10
29,0.05,0,sleep,2.3748029403770956,0.007432636952007808,190.00363428571436,0.5926488442047015,80.00817142857143,35
30,0.05,0,stress-ng,2.368413602470056,0.006952132004917552,189.52094250000283,0.5610090738810088,80.0202,10
31,0.05,20,stress-ng,3.286648966703698,0.006852551283648576,262.9802499999986,0.558746947915413,80.0147,10
32,0.05,40,stress-ng,3.4985041314911234,0.006821293351139515,280.0125174999938,0.5236164036783353,80.0378,10
33,0.05,60,stress-ng,3.724354391485714,0.009120418168064515,298.0473724999939,0.7101220574315006,80.0266,10
34,0.05,80,stress-ng,3.9235411573541894,0.005116205491024145,313.98687999999703,0.4152005631140346,80.0264,10
35,0.05,100,stress-ng,4.12003488491357,0.003085087667462161,329.6790150000076,0.2534570964686391,80.01849999999999,10
36,0.1,0,sleep,2.357020229409624,0.00908754654297833,188.5812192857199,0.7282844350332872,80.00831428571429,35
37,0.1,0,stress-ng,2.355632449314084,0.0026064936159920105,188.49653250000645,0.210477218696041,80.01950000000001,10
38,0.1,20,stress-ng,3.2674759852078052,0.0072386342598430905,261.5319999999989,0.5872148992624138,80.041,10
39,0.1,40,stress-ng,3.477728582215869,0.004665572924571233,278.30171499999176,0.3524354480305828,80.024,10
40,0.1,60,stress-ng,3.711142826025695,0.010176782827769272,297.008672499995,0.806474801687221,80.0316,10
41,0.1,80,stress-ng,3.9071997981808764,0.007384322169167557,312.644729999998,0.5800658585454216,80.0176,10
42,0.1,100,stress-ng,4.098695204342741,0.0030147487795612817,327.9763600000034,0.24068926290579373,80.0197,10
43,0.2,0,sleep,2.35628450406079,0.002370712645637852,188.51905428571965,0.192230041081906,80.00691428571429,35
44,0.2,0,stress-ng,2.3562478984623514,0.002186116194108486,188.53988750000627,0.17594302551974092,80.017,10
