,period,load,experiment,power_mean,power_std,energy_mean,energy_std,duration_mean,duration_std,loggings_mean,loggings_std,runs
0,0.0,0,stress-ng,2.5711623130958534,0.02433026305148086,205.76092999999673,1.938677334441919,80.02645714285714,0.004132673662003396,0.0,0.0,35
1,0.0,5,stress-ng,2.99241272544776,0.04973215095112007,239.65500214287255,4.081225797107283,80.08731428571429,0.22543340890103486,0.0,0.0,35
2,0.0,10,stress-ng,3.167367571710341,0.036087774500107576,253.53711714287488,2.8326600523825674,80.04688571428572,0.0976282780359722,0.0,0.0,35
3,0.0,15,stress-ng,3.249660166374386,0.030669201788365283,260.0777092857275,2.466200948078507,80.03225714285713,0.04345676882031762,0.0,0.0,35
4,0.0,20,stress-ng,3.3245038925352763,0.019942867157509373,266.0956271428631,1.5798381710003986,80.04074285714286,0.04445774124157115,0.0,0.0,35
5,0.0,30,stress-ng,3.4445506510478374,0.022301809600718127,275.73758785714307,1.7958879542649233,80.05037142857142,0.04329793210269379,0.0,0.0,35
6,0.0,40,stress-ng,3.559147871795947,0.017944051826102276,284.88545571428165,1.433841610515547,80.04317142857143,0.02677519233113932,0.0,0.0,35
7,0.0,50,stress-ng,3.670499115342656,0.0292188654564353,293.78172428570906,2.3408097296288055,80.03862857142856,0.019014059371463634,0.0,0.0,35
8,0.0,60,stress-ng,3.8107998206549802,0.01664949567681385,304.9726357142809,1.32993192846604,80.02851428571428,0.008311478344368657,0.0,0.0,35
9,0.0,70,stress-ng,3.919545439455872,0.021798645550045546,313.6756285714294,1.7459543976299923,80.02857142857142,0.007365602544278397,0.0,0.0,35
10,0.0,80,stress-ng,4.026821982644697,0.017103180168763492,322.2633392857128,1.3683515153802306,80.0292,0.006013709826914946,0.0,0.0,35
11,0.0,90,stress-ng,4.131703217353436,0.016971631312062183,330.64651642857217,1.3586422494744212,80.02668571428572,0.0026982720894885718,0.0,0.0,35
12,0.0,100,stress-ng,4.240357457946465,0.021495068736925523,339.3337585714399,1.7203915030276653,80.0248,0.002506462236136422,0.0,0.0,35
13,0.03,0,stress-ng,2.5030016616429878,0.005938792601284222,200.30385285714237,0.47554144534471426,80.02545714285715,0.0007413365173315864,2667.0,0.0,35
14,0.03,5,stress-ng,3.177608577712289,0.030134890795444926,254.4122935714304,2.415735047936986,80.06422857142857,0.16535364698556443,2668.3714285714286,5.562932543847274,35
15,0.03,10,stress-ng,3.2907634750847286,0.029212023349008864,263.40914785714295,2.3092045857099674,80.04511428571429,0.08244490903148588,2667.7714285714287,2.787426752250149,35
16,0.03,15,stress-ng,3.3589085960594858,0.021094199988270997,268.85292071428347,1.7532056916439627,80.04165714285715,0.06724316840749862,2667.657142857143,2.274447019320795,35
17,0.03,20,stress-ng,3.4240350102790207,0.014343293246306526,274.03900357142317,1.1230906649979027,80.03397142857143,0.02845169871314868,2667.4,0.9139442639718359,35
18,0.03,30,stress-ng,3.5330198295548456,0.017622170233961093,282.80681214285505,1.393107264691191,80.0468,0.040981200855139156,2667.8,1.3460180927024459,35
19,0.03,40,stress-ng,3.650407750741816,0.016983957586832434,292.18752785713934,1.3693108195535755,80.04242857142857,0.028791630436518233,2667.542857142857,0.8168395746756395,35
20,0.03,50,stress-ng,3.75049885819008,0.022260459403767613,300.18021071428456,1.770101845454713,80.03742857142856,0.018117728909558647,2667.457142857143,0.5054326709601121,35
21,0.03,60,stress-ng,3.8759971078593294,0.017939284023763612,310.21427714285625,1.4512052368117696,80.03468571428571,0.010975296937083065,2667.3714285714286,0.49024089430988516,35
22,0.03,70,stress-ng,3.9829385220331184,0.01756876753885087,318.75992285714256,1.4074632731660057,80.03134285714286,0.008690572502440434,2667.2571428571428,0.4434395736311308,35
23,0.03,80,stress-ng,4.0871263357402325,0.01978341651292566,327.08969928571537,1.5865501082589877,80.02925714285713,0.00573094211094546,2667.057142857143,0.2355041079767641,35
24,0.03,90,stress-ng,4.200632343126566,0.02304147427013673,336.16365000000627,1.8450206698592981,80.02691428571428,0.0037445759091637664,2667.0,0.0,35
25,0.03,100,stress-ng,4.319857857163547,0.03601803738490048,345.6953078571433,2.8873963709432835,80.02468571428571,0.0026096137709653916,2667.0,0.0,35
26,0.04,0,stress-ng,2.4899046149563153,0.02414291742721956,199.25682785714588,1.9326597217233055,80.0258857142857,0.0005297851157795764,2000.0,0.0,35
27,0.04,5,stress-ng,3.1677850341620215,0.027970144753874483,253.7644650000042,2.2806008048311988,80.10820000000001,0.2758494687538167,2002.142857142857,6.9075528021352035,35
28,0.04,10,stress-ng,3.2786507875302746,0.023412529877297854,262.4584514285742,1.9574105342358514,80.05062857142858,0.09780806105185093,2000.6857142857143,2.3610993024365485,35
29,0.04,15,stress-ng,3.3480159166797097,0.02800457102102213,267.9758328571437,2.2708843029944723,80.04014285714287,0.06060680550853583,2000.4571428571428,1.501819624613411,35
30,0.04,20,stress-ng,3.4111774714145655,0.018263639318465325,272.99830428571295,1.4687588027048084,80.03051428571429,0.031294024451746415,2000.2285714285715,0.8431633114337076,35
31,0.04,30,stress-ng,3.5208595482588714,0.021149304059077924,281.7836399999968,1.6773246663902417,80.03265714285715,0.028094318932883125,2000.2857142857142,0.7503500583621223,35
32,0.04,40,stress-ng,3.6356848690787587,0.01818951991082465,290.96393428571,1.4513288631749715,80.03002857142857,0.019641621045903425,2000.2,0.5313689313240237,35
33,0.04,50,stress-ng,3.742034493285625,0.024381800090645753,299.5066857142847,1.9384853618023852,80.03848571428573,0.017400763047114604,2000.4571428571428,0.5054326709601705,35
34,0.04,60,stress-ng,3.862619677944063,0.01623743162306525,309.12974999999915,1.2985927883952915,80.03111428571428,0.01170915033982421,2000.2571428571428,0.4434395736311798,35
35,0.04,70,stress-ng,3.968173750024564,0.020588811621515716,317.5757642857141,1.6450921747414002,80.0307142857143,0.008535639569311965,2000.1714285714286,0.38238526043109694,35
36,0.04,80,stress-ng,4.075548967162382,0.017498710336337483,326.1678157142877,1.400980833310037,80.0304,0.0052814882038173675,2000.0,0.0,35
37,0.04,90,stress-ng,4.18620867798978,0.019628399465873688,335.01032142857616,1.5712073839305731,80.02714285714286,0.003069229230155544,2000.0,0.0,35
38,0.04,100,stress-ng,4.303490175073059,0.033802102153139564,344.3827657142931,2.7078928827307474,80.02405714285715,0.001999159487248619,2000.0,0.0,35
39,0.05,0,stress-ng,2.48165498121261,0.01783282123251309,198.59628571429099,1.427419558256527,80.02574285714286,0.0006108266887538948,1600.0,0.0,35
40,0.05,5,stress-ng,3.149569560891447,0.03389115772891956,252.19024000000994,2.571809103549542,80.07197142857143,0.16855693499863478,1601.0,3.395498750508679,35
41,0.05,10,stress-ng,3.273570899296012,0.021930105281628483,262.0434757142894,1.7705580921124842,80.04822857142858,0.09479578226975097,1600.5428571428572,1.9454752503128578,35
